Virtual Page|	Physical Page
0	|	225
1	|	226
2	|	227
3	|	228
4	|	229
5	|	230
6	|	231
7	|	232
8	|	233
9	|	234
10	|	235
11	|	236
12	|	237
13	|	238
14	|	239
15	|	240
16	|	241
17	|	242
18	|	243
19	|	244
20	|	245
21	|	246
22	|	247
23	|	248
24	|	249
25	|	250
26	|	251
27	|	252
28	|	253
29	|	254
30	|	255
31	|	256
32	|	257
33	|	258
34	|	259
35	|	260
36	|	261
37	|	262
38	|	263
39	|	264
40	|	265
41	|	266
42	|	267
43	|	268
44	|	269
45	|	270
46	|	271
47	|	272
48	|	273
49	|	274
50	|	275
51	|	276
52	|	277
53	|	278
54	|	279
55	|	280
56	|	281
57	|	282
58	|	283
59	|	284
60	|	285
61	|	286
62	|	287
63	|	288
64	|	289
65	|	290
66	|	291
67	|	292
68	|	293
69	|	294
70	|	295
71	|	296
72	|	297
73	|	298
74	|	299
75	|	300
76	|	301
77	|	302
78	|	303
